method,pl,seed,mse,epoch1_loss,is_anomalous
coarsening,192,2021,0.4177952706813812,0.3738871,False
coarsening,192,2022,0.4164813756942749,0.3787799,False
coarsening,192,2023,0.4160933494567871,0.3743857,False
coarsening,192,2024,0.4156340658664703,0.3858903,False
coarsening,192,2025,0.4176540374755859,0.3769391,False
coarsening,192,2026,0.4152901768684387,0.3759679,False
coarsening,192,2027,0.418292760848999,0.3807338,False
coarsening,192,2028,0.4169841110706329,0.3790499,False
coarsening,192,2029,0.4175132513046264,0.3797154,False
coarsening,192,2030,0.4152957499027252,0.3827267,False
coarsening,192,2031,0.4151920080184936,0.3837809,False
coarsening,192,2032,0.4194107055664062,0.3862506,False
coarsening,192,2033,0.4168172776699066,0.379052,False
coarsening,192,2034,0.4168197512626648,0.3768294,False
coarsening,192,2035,0.4182838201522827,0.3772465,False
coarsening,192,2036,0.4190816879272461,0.377598,False
coarsening,192,2037,0.4188255369663238,0.3932184,False
coarsening,192,2038,0.4157202243804931,0.3791358,False
coarsening,192,2039,0.4167290925979614,0.3825133,False
coarsening,192,2040,0.4178246259689331,0.392552,False
coarsening,192,2041,0.4176897704601288,0.3819804,False
coarsening,192,2042,0.4153803884983063,0.3840551,False
coarsening,192,2043,0.4174401760101318,0.3833992,False
coarsening,192,2044,0.414967805147171,0.3824342,False
coarsening,192,2045,0.4138475060462951,0.3954756,False
coarsening,192,2046,0.4192588925361633,0.3777944,False
coarsening,192,2047,0.4151711463928222,0.3834814,False
coarsening,192,2048,0.4160245954990387,0.3793816,False
coarsening,192,2049,0.4166232347488403,0.3801996,False
coarsening,192,2050,0.4189514517784118,0.3849321,False
coarsening,336,2021,0.4330902993679046,0.382179,False
coarsening,336,2022,0.4321629405021667,0.3857569,False
coarsening,336,2023,0.430828183889389,0.3945568,False
coarsening,336,2024,0.4294752180576324,0.3963145,False
coarsening,336,2025,0.4338666200637817,0.3979772,False
coarsening,336,2026,0.4303618371486664,0.3881813,False
coarsening,336,2027,0.4336415231227875,0.4054257,False
coarsening,336,2028,0.4325971603393554,0.3830063,False
coarsening,336,2029,0.4331733286380768,0.3973859,False
coarsening,336,2030,0.4299313724040985,0.3875671,False
coarsening,336,2031,0.4308549761772156,0.3864423,False
coarsening,336,2032,0.4331913292407989,0.3876643,False
coarsening,336,2033,0.4323409795761108,0.3881528,False
coarsening,336,2034,0.4309267401695251,0.3870608,False
coarsening,336,2035,0.4329903721809387,0.3903517,False
coarsening,336,2036,0.4351092576980591,0.4010067,False
coarsening,336,2037,0.4332552850246429,0.3980423,False
coarsening,336,2038,0.4305199980735779,0.3895514,False
coarsening,336,2039,0.4315546751022339,0.392911,False
coarsening,336,2040,0.4326381385326385,0.3910393,False
coarsening,336,2041,0.4334734082221985,0.386915,False
coarsening,336,2042,0.4310096502304077,0.3914535,False
coarsening,336,2043,0.4322810471057892,0.3882352,False
coarsening,336,2044,0.4306856393814087,0.3885316,False
coarsening,336,2045,0.4282713830471039,0.3924274,False
coarsening,336,2046,0.4347468614578247,0.4035907,False
coarsening,336,2047,0.4303328394889831,0.3952058,False
coarsening,336,2048,0.4305708706378937,0.3935121,False
coarsening,336,2049,0.4313017427921295,0.3874868,False
coarsening,336,2050,0.4326715469360351,0.3985806,False
coarsening,720,2021,0.4668629169464111,0.4199771,False
coarsening,720,2022,0.4656721353530884,0.4171553,False
coarsening,720,2023,0.4636945724487304,0.434112,False
coarsening,720,2024,0.4612082839012146,0.4246546,False
coarsening,720,2025,0.466079980134964,0.4250846,False
coarsening,720,2026,0.4637125432491302,0.424028,False
coarsening,720,2027,0.4671312272548675,0.4291445,False
coarsening,720,2028,0.4657526314258575,0.4172039,False
coarsening,720,2029,0.4665508866310119,0.424064,False
coarsening,720,2030,0.4626990556716919,0.4223725,False
coarsening,720,2031,0.4623150825500488,0.4234757,False
coarsening,720,2032,0.4663113951683044,0.4168746,False
coarsening,720,2033,0.4652767479419708,0.420682,False
coarsening,720,2034,0.4638778269290924,0.4208353,False
coarsening,720,2035,0.467189759016037,0.4420106,False
coarsening,720,2036,0.468944638967514,0.4997599,False
coarsening,720,2037,0.4664757549762726,0.4290204,False
coarsening,720,2038,0.4652561545372009,0.4375312,False
coarsening,720,2039,0.4646004438400268,0.4228752,False
coarsening,720,2040,0.4648681879043579,0.4212976,False
coarsening,720,2041,0.4685357809066772,0.4285212,False
coarsening,720,2042,0.4630189538002014,0.4221886,False
coarsening,720,2043,0.4664659798145294,0.4263702,False
coarsening,720,2044,0.4628802537918091,0.4302978,False
coarsening,720,2045,0.4608858227729797,0.4169115,False
coarsening,720,2046,0.4690684080123901,0.4267778,False
coarsening,720,2047,0.4647825360298157,0.4254052,False
coarsening,720,2048,0.4628336429595947,0.4178434,False
coarsening,720,2049,0.4651060998439789,0.4249363,False
coarsening,720,2050,0.4675198495388031,0.4386771,False
coarsening,96,2021,0.3976878821849823,0.4506224,False
coarsening,96,2022,0.3957062363624573,0.4119961,False
coarsening,96,2023,0.3942932188510895,0.4029282,False
coarsening,96,2024,0.3933879137039184,0.4054637,False
