model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
VG_iTransformer_SF,,bdg2,2817,192,15.1552,4.9142,1.9391,0.5744,60.2351,16.6525
VG_iTransformer_SF,,bdg2,2817,336,15.3632,4.9881,2.0320,0.6126,76.0857,16.8436
VG_iTransformer_SF,,bdg2,2817,720,15.9178,5.1851,2.2912,0.7092,102.4336,17.2635
VG_iTransformer_SF_pool_learn,,traffic,862,96,5.9983,6.4615,1.5245,0.3514,44.5711,12.9299
VG_iTransformer_SF_pool_stat,,traffic,862,96,6.0780,6.5028,1.4315,0.3544,44.2288,12.7474
VG_iTransformer_film_only,,traffic,862,96,5.9983,6.4533,1.4130,0.3508,41.1836,11.9338
VG_iTransformer_shifted_only,,traffic,862,96,5.9983,6.4533,1.1952,0.3231,39.8493,10.5872
VG_iTransformer_vg_only,,traffic,862,96,5.9983,6.4533,1.1952,0.3231,38.6233,10.1457
VG_lDgD_plain,,traffic,862,96,5.9983,6.4533,1.1952,0.3231,39.3824,10.1192
VG_lDgH_SF,,traffic,862,96,6.0011,6.4657,1.4484,0.3509,76.6673,17.5997
VG_lDgM_SF,,traffic,862,96,6.0067,6.4700,1.4183,0.3509,43.5581,12.5011
VG_lDgQ_FiLM,,traffic,862,96,5.9969,6.4657,1.4443,0.3509,66.2285,16.4072
VG_lDgQ_SF,,traffic,862,96,5.9969,6.4657,1.4434,0.3509,62.3740,16.6697
VG_lDgQ_SG,,traffic,862,96,5.9969,6.4657,1.2267,0.3232,60.9208,15.4143
VG_lDgQ_hybrid,,traffic,862,96,6.0011,6.4657,1.2299,0.3232,64.4003,15.8547
VG_lDgQ_mlp,,traffic,862,96,6.0067,6.4700,1.2013,0.3233,38.4639,10.1852
VG_lDgQ_plain,,traffic,862,96,5.9969,6.4657,1.2258,0.3232,53.1905,15.2131
VG_lQgD_plain,,traffic,862,96,6.0203,6.4657,2.0346,0.3827,156.3604,20.8184
VG_lQgQ_plain,,traffic,862,96,6.0189,6.4781,2.0665,0.3828,171.4263,23.3051
VarDrop,,traffic,862,96,11.6931,6.4119,0.9003,2.4424,61.5675,44.0289
VarDrop,,traffic,862,192,11.7357,6.4611,0.8794,2.4719,64.4228,44.1551
VarDrop,,traffic,862,336,11.7995,6.5350,0.9848,2.5155,86.0052,44.1721
VarDrop,,traffic,862,720,11.9698,6.7320,1.0524,2.6372,120.5633,44.6361
VarDrop,,electricity,321,96,2.2191,4.8339,0.3463,0.4464,33.1880,7.9849
VarDrop,,electricity,321,192,2.2351,4.8831,0.3576,0.4579,36.7590,8.0810
